category,category,speaker_in_sample_A,sample_A_ID,quality
bonafide,non-target,LA_0054,LA_E_3569893.wav,5
spoofed,A07,LA_0028,LA_E_7151962.wav,5
bonafide,target,LA_0040,LA_E_1458883.wav,6
bonafide,target,LA_0027,LA_E_6672442.wav,4
spoofed,A18,LA_0035,LA_E_6082233.wav,0
bonafide,target,LA_0002,LA_E_6199020.wav,4
bonafide,target,LA_0005,LA_E_8218689.wav,5
bonafide,target,LA_0006,LA_E_3914043.wav,7
bonafide,target,LA_0016,LA_E_8383122.wav,6
bonafide,target,LA_0043,LA_E_7369091.wav,7
bonafide,target,LA_0026,LA_E_4073859.wav,6
bonafide,target,LA_0017,LA_E_5834361.wav,6
bonafide,target,LA_0006,LA_E_4611526.wav,4
spoofed,A08,LA_0029,LA_E_4347823.wav,4
spoofed,A16,LA_0005,LA_E_6392124.wav,5
spoofed,A17,LA_0041,LA_E_5208000.wav,0
spoofed,A11,LA_0024,LA_E_8769405.wav,7
bonafide,target,LA_0025,LA_E_2492310.wav,3
bonafide,target,LA_0037,LA_E_5956662.wav,4
bonafide,target,LA_0001,LA_E_2185860.wav,3
bonafide,target,LA_0035,LA_E_2340076.wav,7
bonafide,target,LA_0025,LA_E_6610003.wav,6
spoofed,A19,LA_0002,LA_E_3946550.wav,6
bonafide,non-target,LA_0052,LA_E_6599905.wav,3
spoofed,A07,LA_0012,LA_E_8285488.wav,6
bonafide,non-target,LA_0061,LA_E_8357084.wav,3
bonafide,target,LA_0040,LA_E_2100029.wav,6
bonafide,target,LA_0022,LA_E_8728399.wav,3
spoofed,A16,LA_0044,LA_E_2779152.wav,4
bonafide,target,LA_0011,LA_E_1686378.wav,5
bonafide,non-target,LA_0050,LA_E_6193311.wav,4
spoofed,A08,LA_0036,LA_E_1732685.wav,5
bonafide,target,LA_0035,LA_E_2992403.wav,9
bonafide,non-target,LA_0064,LA_E_5508731.wav,7
spoofed,A11,LA_0021,LA_E_2203511.wav,0
bonafide,non-target,LA_0063,LA_E_2621295.wav,9
spoofed,A12,LA_0038,LA_E_7400085.wav,0
bonafide,non-target,LA_0053,LA_E_8149536.wav,6
bonafide,target,LA_0028,LA_E_1402365.wav,8
bonafide,target,LA_0034,LA_E_4142928.wav,9
spoofed,A08,LA_0034,LA_E_5886692.wav,0
bonafide,non-target,LA_0065,LA_E_5593264.wav,5
bonafide,target,LA_0018,LA_E_2349059.wav,9
bonafide,target,LA_0038,LA_E_5764501.wav,6
bonafide,target,LA_0002,LA_E_2284593.wav,6
bonafide,non-target,LA_0054,LA_E_1973613.wav,7
bonafide,target,LA_0005,LA_E_1948520.wav,7
bonafide,target,LA_0026,LA_E_1668623.wav,6
bonafide,non-target,LA_0056,LA_E_3223650.wav,9
bonafide,non-target,LA_0055,LA_E_2540691.wav,8
spoofed,A09,LA_0007,LA_E_9950075.wav,0
bonafide,target,LA_0039,LA_E_9190957.wav,7
bonafide,target,LA_0044,LA_E_5334042.wav,3
spoofed,A19,LA_0029,LA_E_2223230.wav,3
bonafide,target,LA_0003,LA_E_3985144.wav,5
bonafide,target,LA_0040,LA_E_9912461.wav,6
bonafide,target,LA_0025,LA_E_7861904.wav,9
bonafide,target,LA_0030,LA_E_6655151.wav,9
spoofed,A08,LA_0025,LA_E_9791921.wav,2
bonafide,target,LA_0015,LA_E_8549176.wav,6
bonafide,target,LA_0003,LA_E_3985144.wav,6
bonafide,target,LA_0012,LA_E_4009672.wav,9
bonafide,target,LA_0048,LA_E_5641828.wav,6
bonafide,target,LA_0015,LA_E_6197004.wav,8
spoofed,A12,LA_0032,LA_E_6324713.wav,1
spoofed,A14,LA_0047,LA_E_4983722.wav,5
bonafide,non-target,LA_0066,LA_E_1024417.wav,1
bonafide,target,LA_0004,LA_E_9108302.wav,5
bonafide,target,LA_0020,LA_E_3239039.wav,6
spoofed,A10,LA_0007,LA_E_9822883.wav,4
bonafide,target,LA_0039,LA_E_9259290.wav,9
spoofed,A18,LA_0016,LA_E_1996218.wav,8
bonafide,target,LA_0007,LA_E_3559983.wav,7
bonafide,non-target,LA_0054,LA_E_2105901.wav,8
bonafide,target,LA_0010,LA_E_5052453.wav,3
bonafide,target,LA_0003,LA_E_5858403.wav,3
bonafide,target,LA_0031,LA_E_9871270.wav,1
bonafide,target,LA_0007,LA_E_7518630.wav,6
bonafide,target,LA_0029,LA_E_2850739.wav,9
spoofed,A11,LA_0003,LA_E_9951941.wav,4
bonafide,target,LA_0029,LA_E_4726602.wav,7
bonafide,target,LA_0002,LA_E_1251876.wav,4
spoofed,A17,LA_0032,LA_E_4632515.wav,6
bonafide,target,LA_0048,LA_E_6352182.wav,5
bonafide,target,LA_0002,LA_E_8545247.wav,4
bonafide,target,LA_0042,LA_E_5498673.wav,8
bonafide,target,LA_0029,LA_E_7267098.wav,7
bonafide,non-target,LA_0065,LA_E_4214323.wav,3
bonafide,target,LA_0027,LA_E_2810656.wav,9
bonafide,non-target,LA_0059,LA_E_4733319.wav,2
bonafide,target,LA_0019,LA_E_7262320.wav,6
spoofed,A09,LA_0008,LA_E_8034941.wav,6
bonafide,target,LA_0039,LA_E_8657220.wav,6
bonafide,target,LA_0036,LA_E_8942381.wav,5
bonafide,target,LA_0033,LA_E_5942271.wav,4
spoofed,A16,LA_0043,LA_E_6387674.wav,1
bonafide,target,LA_0032,LA_E_5044663.wav,4
bonafide,target,LA_0005,LA_E_2667571.wav,6
bonafide,target,LA_0017,LA_E_7829061.wav,7
bonafide,target,LA_0045,LA_E_5927944.wav,9
bonafide,target,LA_0019,LA_E_7318739.wav,7
bonafide,non-target,LA_0060,LA_E_5033229.wav,5
bonafide,non-target,LA_0066,LA_E_2485708.wav,2
spoofed,A08,LA_0023,LA_E_4010040.wav,0
bonafide,target,LA_0022,LA_E_2668537.wav,9
spoofed,A16,LA_0032,LA_E_5196065.wav,2
spoofed,A12,LA_0041,LA_E_6330798.wav,5
spoofed,A11,LA_0010,LA_E_8291976.wav,0
bonafide,non-target,LA_0058,LA_E_2450262.wav,9
bonafide,target,LA_0031,LA_E_5783993.wav,7
bonafide,target,LA_0032,LA_E_4763073.wav,6
bonafide,target,LA_0046,LA_E_4918197.wav,3
bonafide,non-target,LA_0065,LA_E_7010243.wav,6
bonafide,target,LA_0031,LA_E_1162721.wav,5
spoofed,A14,LA_0024,LA_E_1042982.wav,0
bonafide,target,LA_0047,LA_E_2985252.wav,7
bonafide,target,LA_0019,LA_E_9205385.wav,7
bonafide,target,LA_0016,LA_E_8192129.wav,4
spoofed,A19,LA_0017,LA_E_7432852.wav,0
bonafide,target,LA_0029,LA_E_5292305.wav,9
bonafide,target,LA_0035,LA_E_5623414.wav,5
